喂遲啲去唔去旅行啊	ssssssbes
嗯咪去親都係棱埋紐西蘭一齊𡃉喇	ssssssssbmebess
唔係啊	bes
上次我淨係去澳洲咋	besbesbes
冇去紐西蘭嚹	ssbmes
唔係即係嗰頭同埋嗰嗰邊	bebebebesbe
噉變咗你係嘞唔使坐咁耐機喇一次過坐晒咯	ssssssbesssssbmesss
唔使分開兩次	bebess
不過新西紐西蘭係唔係都紐西蘭定新西蘭唧究竟	bebebmesbesbmesbmesbe
誒有人叫即係紐又照譯紐西蘭	ssssbessssbme
有啲叫做新西蘭	ssbebme
其實都係一樣一個地方	bessbessbe
係囖	ss
好似幾靚喎啲風景係唔係啊	bessssbesbes
嗯係啊	sss
係囖	ss
有海豚定係有鯨魚睇𡃉	sbebesbess
有啲觀團可以出海	bebebebe
你都唔游水	sssbe
但係要唔係啊嗰啲要夾啱時間𡃉	besbesbesssbes
要睇佢個嗰嗰段時間啱呢就有一羣𡃉	sssssssbesssssss
哩個去哩個去帕斯咋喎	besbesbess
係囖咪澳洲嗰邊囖	sssbebes
係啊係啊	ssss
係囖	ss
但係你佢嗰啲都都未必一定包一定睇得到	bessbessbebesbesss
即係佢嗰個叫做唔知觀鯨團定係乜嘢噉樣𡃉	besbebesssssbebebes
就唔一定包你睇到囖	ssbesssss
即係佢會有有隻船出海	bessssssbe
即係到時自己嗰啲嚹喎意思係	bebebebessbes
誒如果係自己去就係囖	sbesbessss
係囖即係佢有啲噉嘅團𡃉直頭	ssbesssssssbe
係咩	ss
係啊	ss
淨係睇鯨魚呀	besbes
有乜嘢睇啊	sbess
喺個海度	ssss
噉係啊係睇海啊睇珊瑚嗰啲嘢囖	ssssssssbebess
哦即係餵佢食嘢嗰啲嚹喎	sbessssbess
唔係啊	bes
佢哩個你係○佢嗰隻唔係𡃉佢嗰隻係睇天然嗰啲𡃉喎唔係人哋養𡃉喎	sbessssssbessssssbebessbebesss
直頭喺個海你係等佢	besssssss
即係可能嗰個時期係一群噉出來呢所以有時間性囖	bebebebessssbesbesbess
你要睇啱邊個時間去先至有得睇𡃉	ssssbebesbebess
唔係你要去就有得睇𡃉嚹	bessssbesss
哦即係睇下你幾時去又撞啱有啲團噉先有得參加囖	sbesssbesssssssssbebes
係唔係啊	sbes
但係我唔知邊個月份係睇鯨魚最好囖	besssbebessbesss
算喇	ss
我對鯨魚都冇乜興趣	ssbesbebe
啊我想睇下喎	ssssss
係咩	ss
係喲	ss
因為未見過咁大條鯨魚吖嗎	bessssssbess
咬唔咬人𡃉	sssss
噉我諗我諗即係遠觀𡃉吖嗎	sssssbesssss
有冇危險𡃉	bebes
大佬	be
噉唔同睇香港嗰啲海洋公園嗰啲都係細吖嗎屬於	sbesbebebmmebesssssbe
噉就係吓	ssss
海洋公園嗰啲屬於細呀	bmmebebess
嗰啲大成點啊	bessss
唔知喲	sss
有時睇即係睇佢嗰啲嗰啲圖片呢嗰條尾都好大條𡃉喎	besbessbebebessssssssss
條尾都發死人喇係唔係啊	ssssssssbes
就係想去睇下啲咁即係天然嘅嘢囖	ssssssssbebesss
但會唔會好貴啊睇哩啲	ssssssssbe
貴唔貴	sss
噉唔知啊	ssss
價錢唔知啊	besss
睇下到時去先至唔係喇去先至價錢啊嗰啲嘢囖	ssbesbebessbebesbess
不過唔緊要喇	bebmes
噠你老公個朵	ssbess
幾時度有得睇唧噉哩啲知唔知大概	besbesssbesssbe
我唔知𡃉	ssss
我唔知個月份係幾時啊	ssssbesbes
但我知有哩啲嘢睇	ssssbess
係咩	ss
我又唔係好知喎	ssbesss
應該係夏天噉嘅氣候係喇	besbessbess
季節	be
都應該係喇	sbess
你喺個海嗰度你梗係着泳褲喇唔係着乜嘢啊	ssssbesbesbesbesbes
所以走去澳洲好呢	bebebess
噉𠻺係	sss
避避寒呀	ssss
唔使咁凍	bess
都好怪啫如果你十二月去即係點啊夏天嘅時侯聖誕節好似唔係好適應啊	ssssbesbmesbessbesbebmebebesbes
未未試過喎噉又可以試下喎	sssssssbesss
真係未試過喎	bessss
又可以試下喎	sbesss
係囖	ss
真係	be
咦你重想去邊吖	sssssss
我呀未去過紐西蘭啊	sssssbmes
都想去啊	ssss
好似聽講啲天嗰度好靚喎	bebessbesss
風景又靚	bess
睇風景囖係	sbess
係囖天氣又好喎	ssbesss
係唔係啊	sbes
唔唔係唔知	sbess
但係如果係你喺澳洲即係嗰邊呢會好熱𡃉喎	bebesssbebebessssss
四十幾度喎	bmess
澳洲好熱	bess
幾時啊	bes
如果你係夏天去嗰個時候即係你都香港冬天先去嗰陣時	bessbesbebebessbebessbme
即係你意思係十二月嗰陣時	besbesbmebme
係啊香港十二月嗰時去嗰度好熱𡃉喎	ssbebmebesbessss
係咩	ss
都曬到好犀利𡃉喎	ssssbess
我老公次次返來都黑晒噉	sbebebessss
咁緊要呀十二月	sbesbme
係啊四十幾度𡃉都	ssbmesss
嗰陣時聽人講呢話澳洲嗰度呢好鬼多烏蠅𡃉喎	bmesssssbebessssbess
係唔係啊	sbes
係啊	ss
佢話好大隻𡃉	ssssss
我又唔覺喎	sssss
我未見過	ssss
係咩	ss
唔知喺近住帕斯定係唔知我唔記得近住邊度嗰啲係好大隻𡃉𡃓	sssbebebesssbmebebebessssss
係囖	ss
話烏蠅係噉威係噉即係點啊圍住佢來追佢追住佢噉樣喎	sbesssssbesssssssssssbes
我老公話都係	sbesss
係咩	ss
但係我未見過	bessss
好彩我未去過帕斯啫	bessssbes
唔知係唔係帕斯啊即係總之係唔知邊個唔知邊個城市係有啲烏蠅好大隻𡃉	sssbebesbebesssbessbebesssbessss
係啊嗰陣聽人講呢就係話嘩啲烏蠅圍住你係噉追住你	ssbesssssssssbesssbesss
好恐怖	sbe
噉你重去過邊度	sssssbe
重去過邊度	sssbe
冇啊美國啊嗰啲喇	ssbesbes
喺美國咪好多嗰啲嗰啲叫做出嗰啲呢	sbesbebebebesbes
冇喎冇乜點去喎	sssssss
你冇去行咩	sssss
嗰度買嘢抵啲喎	besssss
個導遊都冇帶我哋去	sbesssbes
淨係去啲觀光點嗰啲	bessbmebe
哦你跟團可能佢就係去啲旅遊點囖	ssssbesssssbmes
但係我我同我老公通常自己去呢就好啲囖	bessssbebebessssss
就可以揀地方去囖	sbesbess
啊啊噉就梗係喇	ssssbes
你老公成日都去美國	sbebessbe
帶隊嗰啲梗係帶你去啲重點喇	bebebessssbes
邊度有平嘢買有抵嘢食	bessssssss
咪係囖	sss
你又鍾意喎	ssbes
噉放假最好去食啊玩啊買嘢啊就最好𡃉喇	sbebesssssssssbess
係囖	ss
係唔係抵好多𡃉嗰邊	sbesbesbe
買嘢	ss
嗯平過香港好多囖	sssbebes
有啲真係起碼半價啊	ssbebebes
半價呀	bes
係啊	ss
咪帶定幾個喼去	sssssss
通常如果諗住要就係𡃉喇	bebesssssss
我帶啲吉喼去𡃉喇	ssssssss
首先講個嗰個古仔呢就係講"孔融讓梨"嗰個古仔來嘅好多人呢其實	bessssbessssssssssbebessbessbe
其實後來呢有啲人將佢反轉過來嘞就有個新嘅"孔融讓梨"古仔	bebesbesssbessssssssssssssbe
噉喎舊嗰個呢就係話呢誒孔融誒點解要讓個大梨俾個大哥自己	sssbesssssssssbesssssssbebe
係唔係尊重哥哥噉樣樣呢即係大人就食大個細人就食細個噉樣樣呢	sbebebebmesbebessssssssssbmes
噉但係呢後來呢有人呢俾佢加咗新編落去啊	sbesbesbesssssssbes
其實呢孔融呢拎咗個細就話呢孔融呢拎走咗個細梨之後呢	bessssssssssssssbessssbes
佢周圍話俾人聽原來個大梨係生蟲嘅所以呢佢就專登呢揾佢大佬同	sbessssbesssssssbesssbesssbes
所以哩個呢就"孔融讓梨"嗰個新編古仔來𡃉嘞	bebessssssssbessbesss
上次呢誒誒買嗰啲郵票呢你使唔使排隊啊	bessssbebesssbebes
最近哩一次呀	bessss
係啊	ss
最近哩一次就唔使排啊因為炒燶晒好多人	bessssbessbesssbes
吓	s
點樣炒燶晒啊	bessss
因為出得太犀利啊多到多到點呢	besssbesssssss
幾乎你要幾多佢俾幾多噉樣樣只要你肯俾錢佢𠻺得𡃉嚹	bessbessbebmebesssssssss
噉就誒而且佢又有好多預早訂晒喇噉嚹啲人就唔使唔使去排囖	sssbesssbebessssssssbebesss
噉兼夾呢女即係炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞而家淨得哩啲	sbessbesbebebmesbessbmmessbebebe
而且又以前𠻺少呢你就誒需求多	besbessssssbes
而家根本係人都咯冇人需求嘅時候呢𠻺根本就炒唔起	bebessssssbesbessbessss
你揸咗喺手嗰啲咪盞唉睇下點樣樣幾時甩得身就甩甩唔到身就真係	sssssbesssssbmebessssssssssbe
噉呢噉就睇下乜嘢冇晒價值噉𠻺真係留返來做古董𡃉嚹嗰陣時	ssssssbessbessbessssbessbme
佢今次就冇出小全章嗰啲	sbesssbmebe
今次冇今次	besbe
小全章係唔係多數都會限量嘅呢	bmesbebessbess
小全章就其實都有限量𡃉不過佢就限得來佢都印得嗰個發行量都幾大𡃉又	bmesbessbesbesssssssssbebessssss
噉套摺嗰啲呢	sbebes
有冇限量啊	bebes
套摺都有限量但係套摺呢就少嗰個數量𠻺少啲因為通常佢都唔做咁多套摺	bessbebebesssbebesssbebessssssbe
係喇我都覺得唔抵	ssssbess
即係你十二蚊係當你十二蚊郵票佢賣二十蚊嗰多出來嗰八蚊呢	besbessssbesbessbesssbessss
收藏	be
即係靚啲喇即係你起碼連埋套郵票噉𠻺好好睇噉樣樣囖喀就唔使	besssbesbesssbesssbebmesssbe
最後誒睇下先九七年七月一號之前呢最後嗰一套話誒都係重係英女皇	bessssbmebebebesbesssssssssbme
知唔知佢講乜嘢主題𡃉	sssssbebes
嘩犀利啊	sbes
犀利呀	bes
下個月	sss
五月	be
五月六月幾套郵票出	bebessbes
幾套呀	sss
佢唔係話得一套咋咩	sbessssss
唔係	be
嗱來𡁵五月中呢就有一套係誒青馬大橋𡃉嚹嗰套真係	sssbessssssssbmmessssbe
香港建設嗰個係五月十幾號出嘅出完嗰套之後呢六月一號呢就有一套	bebebesbebmessssssbesbebesssss
傷殘運動會	bebme
唔係	be
奧運會	bme
奧運會	bme
傷殘奧運會即係嗰陣時俾人鬧佢吖嗎話佢淨係出李麗珊啊	bebmebebmessssssssbessbes
淨係出李麗珊喀喀	bessbess
歧視嗰啲傷殘運動員嗰啲成績吖嗎噉就所以佢今次就六月一號呢佢就㧬一	bebebebmebebessssbesbesbebesssss
噉呢到六月尾呢又有一套乜嘢香港經典系列呀	sssbessssssbebebebes
第十號呀	bess
最後出嘅一套來嘅又係小全章來嘅	bessssssssbmess
乜嘢經典啊	bebes
嗱佢以前一路出過由經典一二三四五六七八九十噉樣嘅	ssbebesssbessssssssssbes
唔係吖經典關於啲乜嘢主題𡃉	besbebesbebes
每一次都有一個特別嘅介紹嘅嘢來嘅由佢第一號開始至到第十號	bmessssbesbessssssbesbessbes
譬如之前係有啲乜嘢啊	bebesssbes
有啲乜嘢百週年乜嘢郵局乜嘢百週年啊	ssbesbebebebesbes
噉有啲呢就係奧運會啊好似係奧運會啊	ssssssbmesbesbmes
有啲𠻺郵展啊噉樣樣𡃉	ssssssbmes
因為佢佢其實佢出得幾亂𡃉發覺佢乜嘢經典系列呢又有一套小全章另外嗰陣時	bessbessssssbesbebebesssssbmebebme
噉變咗好容易撈亂咗囖	ssssbebess
噉佢嗰套呢就係第十號嗰一張就係最後一張來嘅即係九七前最後一張	sssssssbessssssbessssbebesbess
你一買完呢第日呢嗰套郵票𠻺廢晒𡃉嚹	sssssbesssbesssss
因為冇唔會再有任何價值因為佢女皇頭吖嗎七月一號之後唔通嗎	besssssbebebesbesssbebebesss
噉你變咗六月三十號你買咗呢你唔用呢七月一號呢	ssssbebmessssssssbebes
乜嘢啊	bes
唔用得𡃉咩啲郵票	ssssssbe
唔係照用得咩	bessss
但係只不過你唔會再出啫嗎	bebmesssssss
係唔係啊	sbes
唔係𡃉七月一號之後女皇頭嘅郵票係唔用得	besbebebebessbessss
唔用得呀	ssss
係啊	ss
噉你係咩	ssss
有噉講過咩	sssss
佢有宣佈過㗎	ssbess
係啊但係呢通常佢都唔會真係如果你真係黏咗落去寄去佢唔會唔俾	ssbesbessssbebesbessbesssssss
係囖	ss
不過好似話誒佢會收返啲女皇頭郵即係有女皇頭嘅郵票但係呢就	bebesssssssbessbesbessbebess
郵局好似佢話唔知可能八折啊	bebessssbesss
你嗰啲即係炒燶咗嗰啲啊蝕兩折蝕兩折出去套返現好過你揸住來過渡	sbebesssbesssssssbesssssssssbe
喀所以就出埋嗰套之後另外嗱七月一號又有一個乜嘢回歸嗰套喇	sbesssssbebesbebessssbebesss
係喇又係點嘅樣𡃉回歸嗰套	ssssssssbess
到而家重未見過樣𡃉	sbessssss
未見過	sss
其實而家都五月乜樣都未見過啊真係	bebesbesssssssbe
咦會唔會出特區旗啊特區花啊嗰啲噉嘅嘢呢	sssssbessbessbessss
冇人提過嗰個嘢係點嘅樣𡃉	ssssbessssss
只係話有一會出有一套回歸嘅郵票同埋小全章𠻺首日封即係乜都出齊	bessssssssbesbebebmesbmebessss
但係呢就從來冇人講過嗰套嘢嘅樣係點樣樣嘅	bessbessssssssssbess
即係乜嘢作即係嗰啲構思啊即係邊個係設計啊以乜嘢為主題啊點樣樣	bebesbebebesbebesbessbesbesbes
所以就出埋哩幾套之後就應該玩完嚹	bessssssbesbesss
你嗰陣時話訂嗰啲呢即係話有一年裏邊訂呢噉有冇包埋你頭先講嗰幾款嗰啲	sbmessbesbessssbesssbesssbessssbe
有啲有有啲冇	ssssss
係囖	ss
佢好似突然間先至話出噉樣	sbebmebessbe
七月一號嗰套咪有囖即係佢一早已經預訂咗訂吖嗎但係哩啲噉嘅其他嗰啲乜嘢	bebesssssbesbebebessssbebessbebebe
即係好似收好似點呢	bebesbess
割禾青嗰啲呢割埋最後哩哩一橛收埋就收工噉樣	bmebesssbesssssssbebe
噉佢啊之前俾人嘈得多話佢即係誒誒印嗰個數量唔夠噉佢今次印	sssbesssssssbesssbebessssbes
唔使話排晒長龍嗰啲噉樣𡃉喇	besssbebebess
係啊	ss
噉佢都唔會賺得太多嘅如果係噉	ssssssssssbess
唔係啊佢賺得好犀利𡃉	besssssbes
都賺得好多啊	sssbes
佢嗰啲預早訂晒貨嗰啲呢成年訂晒嗰啲你冇得你唔可以見到話個市唔	sbebesssbesssssbesbessbessssss
因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢成年你訂晒𡃉嘞噉就到時啊	bessbebmebmebmessssssssssssssbes
唔升嘅時候你𠻺你𠻺錢𠻺俾咗佢貨你𠻺一定要一定你要要𡃉嘞	sssbessssssssssssbesbesssss
即係希望佢有一日或者升得返喇	bebessssbessss
如果唔係𠻺真係好似要來做收藏品噉	bebesbebesssbmes
但係係喇我就唔訂就因為佢冇得揀吖嗎即係之前都誒又唔會話	besssssssbesbesssbebessssss
係啊冇啊好多嘢好多嘢完全佢直程話俾你知有啲嘢"你俾錢喇	ssssbesbesbesbessssssssssss
係喇我唔鍾意噉樣	ssssbebe
連嗰啲嘢係點嘅樣冚唪唥乜嘢你都唔知好似有陣時嗰啲首日封噉佢有嗰	sbesssssbmebessssbebmebebmessss
到到嗰個時候佢真係賣嘅時候呢出嘅時候呢佢就話俾你聽有個特別郵	ssbmmesbessbesssbesssssssssbes
噉你如果你要個特別郵呢你又要去再訂過嘞	ssbesssbessssssssss
即係變咗你除咗訂嗰佢嗰個誒可能啲人鍾意乜嘢呢	besssbesssbesbessbebes
香港一號噉囖	bessss
完香港一號之後"哎吔嘩原來有個特別公仔設計有個𡃉	sbessbesbesbessbebebesss
"噉你又要去再買過一次郵	ssssssssssss
所以咪好似賺完又賺噉囖	besbessssss
大致都係咁上下𡃉嚹	bessbmess
我有啲朋友佢又話誒炒郵票嗰啲呢佢𠻺識得嗎有某一種嘅郵票	sssbesssssbebesssssssssssbe
嗰陣時我唔知佢講過個八定係個三啊	bmessssssbessbes
個八啊個八啊	besbes
個八啊係唔係啊個八啊	bessbesbes
係啊我記得我即係當個八呢曾經有個時期可以要來誒一個	sssbesbesbesbessbebesssss
亞洲囖係啊	besss
喀	s
一毫子	sbe
搭啲兩三毫子先至搭夠再寄啲新嘅噉嗰陣時就快快脆脆猛咁將啲個八黏黏	ssssbebessssssssbmesbmmebessbess
好短時間𡃉咋喺我寄晒即係由佢開始加郵票至到我寄晒啲個八嘅郵票	ssbessssssbessbesbebessssbesbe
嗰啲個八郵票呢嘩升到真係癲	bebebessssbes
佢而家呢都賣成好似話要二百幾蚊	sbessssbessbmes
搞錯啊	bes
一個	ss
係未扱過印嗰啲先得呀嗎	sssssbessss
未扱過印嘅二百幾蚊一個好似過成過萬蚊一版好似係	sssssbmesssbesssssssbes
係唔係呢	bmes
好犀利啊總之個八嗰隻係非常非常之	sbesbebesssbebme
心痛嚹	bes
但係而家又冇哩一樣𡃉喇係唔係啊	bebessssssssbes
即係哩排又冇話	bebesss
而家冇嚹而家靜返啲嚹	bessbessss
係囖	ss
而家如果而家再揾女皇頭嗰啲呢就真係儲郵票𡃉嚹嗰啲真係真係儲來	bebebessbesbessbesbessbebebess
嗰陣時嗰啲𠻺純粹炒𡃉啫嗰陣時嗰啲就𠻺我都重有啲炒嘅喺度啊	bmebesbesssbmebesssssssssbes
係咩	ss
嗰陣時買不過唔係個八有啲個半	bmesbebebessbe
啊我最好買到張個半	sssssssbe
個半我早嗰輪去嗰個收購價都成千一蚊	besbmesbebesssbes
嘩一版呀又係	ssssss
一版喀我嗰陣時喺郵局好無聊噉𠻺買開郵票噉𠻺無端端我話"是但喇	ssssbmesbesbessssbessbmesssbes
"噉噉佢又有個半我又我都唔為意我只係諗住買來收埋噉啊	ssssssbessssbmesbessssbess
噉買咗之後我就一路收喺本集郵簿裏邊囖	sssbessbesssbmebes
到後來我嗰陣時佢炒女皇頭嗰陣時我先知道原來個半都好值錢嘅	sbesbmessbmebmessbebebessbes
哦	s
我為起來都係一百五十蚊一版啫嗎	ssbessbmmesssss
喀喀喀	sss
我買原價但係嗰陣時佢嗰個收購價已經係千一蚊至千二蚊之間	ssbebebmesbebesbesbessbesbe
佢再賣返出去幾多就唔知嚹	ssssbebessss
不過我冇賣到啊	besssss
哦自己儲	sbes
我自己儲冚唪唥一路收返起晒	sbesbmebessss
賣俾人	sss
賣俾人囖	ssss
不過通常我朋友我都唔鍾即係點呢	bebesbessssbess
唔鍾意話好似賣高些少噉賣俾人嗰啲好似好似喺朋友身上揾錢噉嘅啫	sbesbessbessssbebebesbebesssss
喀喀喀	sss
噉𠻺係	sss
自己儲郵票嘅就唔會噉𡃉喇	besbesssssss
所以我而家都儲埋收埋啲喇收埋啲	besbesssbessbes
噉係英誒英女皇之前呢	ssssbmebes
其實你幾時開始儲郵票𡃉	besbebesbes
其實我儲郵票嘅時間好短𡃉咋	bessbesbessss
到我由真係識得儲郵票只係喺哩三四年間先開始去儲郵票	sssbesssbebesssssssbessbe
以前嗰啲呢我鍾意見到靚嗰啲呢儲起一個有啲見到"咦十個拼	bebessbesssbessssssssssssss
"啊噉𠻺又躉十個喺度	ssssssssbe
譬如有啲佢有四款我又唔鍾意嗰款呢我就唔要嗰款嘅	besssssssssbessssssssss
變咗我而家有啲郵票呢	sssbessbes
就係唔齊嘅	sssss
譬如四個呢佢𠻺得兩個啫或者得三個𡃉啫其他嗰啲我就唔知我就	besssssssssbesssssbebessssss
哦即係你又唔係儲好舊嗰啲	sbessbesssbe
即係英女皇之前嗰啲就冇𡃉嚹其實	bebmebebessssbe
冇𡃉嚹其實舊啲嗰啲都冇𡃉嚹	sssbessbessss
不過以前就一路儲開儲小全章呢就一張嗰陣時又唔識得大量噉樣儲起佢	bebesbesssbmessssbmessssbebesss
嗰陣時嘩好開心啊好似有咩龍船啊有一張龍船喎我揸住張龍船已經	bmessbesbessbessssbesssssbebe
我記得啊即係成條噉樣𠺢嗎	sbesbessbess
係啊成條噉𡃉	ssssss
其實賣嗰陣時任人買嘅嗰陣時我𠻺只係真係純粹鍾意囖哎有一張已經好	besbmessssbmessbebebebesssssbes
咦我都係噉𡃉我小學已經有儲𡃉嚹但係嗰陣時小學嗰啲又玩玩下嗰啲	sssssssbebessssbebmebebessssbe
中學就多啲時間去排隊呢即係誒放咗學有陣時首日封嗰啲呢	besssbesbesbessssbmebmebes
噉去排隊其實都唔係排好長𡃉啫嗎即係一個鐘以內一定得𡃉嚹即係通常	ssbebesbessssssbesssbebesssbebe
係啊係啊以前都係最多都係排最多都係排一個至個零鐘頭就已經排到	ssssbessbesssbessssssssbesbess
而家唔得嚹	besss
係啊係囖噉但係即係而家就越來越癲嚹啊都要搞到呢即係都冇咁	sssssbebebesbmessssssssbesss
我自從嗰次排完八個鐘頭之後我𠻺以後你都唔好搞我	sbebessssbebessbessssss
真係好慘企八個鐘頭	besssssbe
我寧願唔要首日封我寧願就噉要啲郵票囖因為如果啲郵票靚𡃉呢噉我就噉	sbessbmesbebessbesbebesbesssssbe
係囖	ss
啊所以就好啲喇如果你即係純粹興趣呢你即係你儲一套噉就好易揾	sbessssbesbebebessbesssssssss
喀喀喀	sss
係啊	ss
不過我係係我衰啲而家又鍾意儲埋成版成版噉來儲	bessssssbesbesssssssss
哎吔我從來冇諗過噉儲啊	besbessssss
我發覺佢成版幾靚𡃉睇嘅時候	sbessssssssbe
係囖其實係幾靚𠸏	ssbessss
好靚𡃉逐版逐版噉揭下揭下	ssssssssssss
唔係啊我諗我下次都係買啲試下買一版先得	bessssbesssssssssss
而且佢哋話呢儲成版就有保值嘅作用囖喀不過你唔好整花整摺有	bebesssssssbesbessbessssssss
冇嗰個賣返出去嘅價值囖變咗你真係永遠就自己揸住來睇𡃉咋	sbessbesbessssbebesbessssss
喀啊如果你真係冇花冇損毀呢就有一日冇飯食嘅時候啊你真係窮到唉	ssbesbesssbesssssssssbessbesss
攞出來賣	sbes
除咗郵票之外乜嘢都冇之後呢你就可以攞啲郵票去唉賣返些少	bebebebessbesssbessbessssbe
唔係喎啲銀仔都得𡃉喎係唔係啊	bessbesssssbes
係啊係啊而家有好多	ssssbesbe
而家話啲銀仔呢又係誒嗰啲斗令定係乜嘢呢噉嗰啲又係	bessbessssbebebebessbess
哎吔我有幾個我重有	besssssss
又係可以拎去賣吖嗎	ssbebesss
我早嗰排先至發現咗摷返幾個斗令出來啊	sbmebebesssssbebes
1我又有儲𡃉嗰陣時原來我都係有誒即係誒誒大嗰個	ssssssbmebesssssbesssbe
男人頭	bes
男人頭男人頭	besbes
唔知有冇喎	ssbes
應該男人頭應該難揾啲	bebesbesss
難揾啲嚹揾唔到嚹應該我	ssssssssbes
唔係啊再早啲嚹	besssss
之後都已經冇𡃉嚹	besbesss
冇喇	ss
七幾年已經	bmebe
我係六幾六幾嘅時候六幾最多去到七幾就已經冇𡃉嚹	ssbebesbebebebebesbesss
究竟你幾多歲啊	besbess
俾你人哋話收收收收收收晒	ssbessssssss
唔係啊	bes
幾多歲	bes
點樣講而係因為我六幾年嘅時候呢好細個我細個嗰陣時好鍾意錢	besssbesbmesbessbesbebmesbes
啱啱幾個月大已經識嘞	bessssbess
你知唔知點解	ssssbe
唔係而係我唔係我細個嗰陣時真係接觸好多錢𡃉點解呢	besssbesbebmebebebessbes
啲人呢成日俾錢我呢我點呢好多人來我屋企呢打麻雀𡃉嗰陣時噉呢我	sssbesssssssbesssbessbesbmesss
成日"哎吔你幫我落樓下買包煙	besbessssbesss
"嗰個"你幫我落樓下買菜買斤菜買餸	sbesssssbesssssss
"噉買完上來呢個個俾"啊幾毫子你食嘢嘞	ssssbesbessssbessss
